,Img code,0.0,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
21,74587526,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
22,19415292,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
23,66116493,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
24,34084980,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
25,53787698,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s
26,60887635,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s
27,56120464,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
28,49983282,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s
29,64918569,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s
30,55387678,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
31,58620456,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
32,69187563,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
33,58953794,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s
34,84353582,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
35,70187552,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
36,67218553,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
37,43052055,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
38,20481954,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
39,48718675,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
40,33352169,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
41,62218574,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
42,84252522,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
43,71554209,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
44,92449658,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s
45,59187646,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
46,03782872,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
47,78254157,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
48,78387498,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
49,65585210,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s
50,16048656,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s
51,60987888,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s
52,01285201,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
53,51187742,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,s
54,68516477,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
55,57785312,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
56,39985419,l,l,l,l,l,l,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s
57,84720244,l,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s
58,56887661,l,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
59,67951883,l,l,l,l,l,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
